,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD65102,07 56 21.7090,-20 27 47.790,-9.283999999999999,-11.389000000000001,6.86,6.83,6.71,6.746,6.676
HIP30090,06 19 58.7272,-20 31 51.959,2.7319999999999998,-8.198,8.22,8.18,8.052,8.072000000000001,8.039
HD54885,07 09 54.8052,-20 41 07.535,-9.021,14.732999999999999,9.18,9.16,9.013,8.953,8.977
HD82431,09 31 21.6423,-20 43 12.786,-17.915,9.209,9.49,9.45,9.352,9.384,9.367
HIP25853,05 31 07.6279,-20 51 49.168,6.622000000000001,-42.297,5.529,5.525,5.546,5.52,5.513999999999999
HD66692,08 03 55.8837,-20 54 32.446,-11.493,1.829,9.57,9.57,9.475,9.476,9.464
HD71569,08 27 24.3509,-20 59 05.894,-13.319,0.9590000000000001,8.71,8.7,8.581,8.583,8.564
HD64397,07 52 55.0658,-21 00 05.506,-7.822,3.1260000000000003,9.01,8.94,8.811,8.831,8.814
HD47717,06 39 14.1541,-21 06 31.024,-0.05,-0.16899999999999998,9.68,9.61,9.412,9.38,9.365
HD136622,15 22 23.9564,-21 10 53.326,-8.535,-13.922,9.57,9.54,9.32,9.298,9.28
HD65008,07 55 48.6185,-21 12 13.916,-7.806,0.9259999999999999,9.91,9.89,9.732999999999999,9.763,9.747
HD62104,07 41 32.2650,-21 15 01.984,-0.062,-3.58,8.79,8.74,8.63,8.758,8.655
HIP23671,05 05 17.3014,-21 15 30.546,-4.9,-18.006,7.83,7.79,7.71,7.776,7.736000000000001
HD72931,08 34 50.3877,-21 18 22.038,-1.645,-3.508,9.44,9.42,9.373,9.413,9.354
HIP40561,08 16 54.2264,-21 19 14.334,-8.707,7.638,6.615,6.607,6.547000000000001,6.57,6.532
HIP55830,11 26 34.0239,-21 21 23.404,-36.028,0.42,6.93,6.88,6.86,6.91,6.8839999999999995
HD82724,09 33 17.6737,-21 23 31.336,-16.53,-11.751,6.68,6.68,6.581,6.567,6.535
HD180827,19 18 47.8578,-21 24 38.239,0.048,-6.635,9.68,9.62,9.568,9.543,9.545
HD53434,07 04 13.6004,-21 26 13.683,-1.3090000000000002,16.489,7.94,7.89,7.78,7.82,7.801
HIP45666,09 18 30.6638,-21 36 22.589,-8.798,-2.22,8.91,8.84,8.628,8.657,8.637
HD87505,10 04 57.5477,-21 38 07.420,-6.337000000000001,-3.903,9.16,9.1,9.062999999999999,9.05,9.025
HD202025,21 14 01.7914,-22 12 43.610,31.675,-12.035,6.99,6.97,6.925,6.9639999999999995,6.956
HIP29851,06 17 07.9314,-22 22 27.688,3.2689999999999997,-19.283,7.04,7.02,6.975,6.98,7.007999999999999
HD48336,06 41 59.2037,-22 29 05.724,-5.001,6.062,9.1,9.05,8.952,8.963,8.933
HIP27425,05 48 26.1606,-22 29 42.422,-3.657,0.8740000000000001,9.12,9.1,8.916,8.955,8.882
HD91398,10 32 54.6280,-22 31 39.404,-30.581999999999997,-1.135,6.94,6.95,6.968,6.999,6.992999999999999
HIP45712,09 19 07.8637,-22 33 11.111,-27.204,23.429000000000002,7.21,7.18,7.015,7.064,7.021
HIP29469,06 12 32.2981,-22 33 39.086,-5.2589999999999995,7.109,8.25,8.27,8.299,8.363999999999999,8.329
HIP21514,04 37 13.4921,-22 36 53.640,17.07,-2.31,7.86,7.84,7.792000000000001,7.809,7.7860000000000005
HD195062,20 29 47.8419,-22 38 41.228,0.048,-0.557,9.87,9.88,9.693999999999999,9.725,9.668
HD56693,07 17 15.1474,-22 39 12.956,-4.999,-5.058,9.96,9.96,9.821,9.862,9.839
HD60642,07 34 37.6090,-22 45 40.861,-3.48,3.0860000000000003,9.75,9.78,9.826,9.799,9.798
HD58214,07 23 43.4392,-22 51 59.015,-2.978,2.92,8.74,8.7,8.566,8.549,8.532
HIP69973,14 19 05.7471,-22 57 12.754,-26.726999999999997,-0.366,7.92,7.86,7.669,7.694,7.6160000000000005
HIP73820,15 05 16.8046,-23 00 47.953,-16.688,-5.8839999999999995,7.59,7.53,7.301,7.266,7.252999999999999
HIP36136,07 26 38.7602,-23 04 55.365,-5.22,5.078,7.4,7.41,7.33,7.37,7.335
HIP35397,07 18 36.2634,-23 06 30.929,-6.042999999999999,1.05,9.47,9.43,9.459,9.482999999999999,9.437999999999999
