,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD73302,08 36 18.4790,-39 55 13.708,-8.982999999999999,6.0089999999999995,9.39,9.32,9.272,9.302999999999999,9.282
HIP72362,14 47 46.9399,-39 55 35.041,-33.04,-8.48,6.93,6.92,6.841,6.892,6.803
HD166811,18 14 12.7411,-39 56 59.243,10.117,-10.082,7.93,7.86,7.605,7.608,7.579
HD168239,18 20 36.9574,-40 00 07.842,6.319,-4.059,9.62,9.56,9.508,9.472000000000001,9.46
HD65245,07 56 09.1247,-40 01 58.511,-5.832000000000001,6.529,10.31,10.27,10.066,10.112,10.09
HD84396,09 43 55.6599,-40 04 32.349,-10.57,5.7620000000000005,8.77,8.74,8.607999999999999,8.624,8.589
HD71525,08 26 25.1428,-40 08 49.637,-7.796,11.033,9.4,9.4,9.402000000000001,9.344,9.344
HIP40588,08 17 14.6474,-40 14 29.284,-17.715,12.187000000000001,7.83,7.8,7.727,7.707999999999999,7.676
HD48382,06 41 18.1254,-40 17 34.229,-2.094,-3.47,7.82,7.76,7.724,7.785,7.75
HD79271,09 11 50.8973,-40 20 05.784,-8.318,8.37,9.1,9.05,8.866,8.921,8.866
HD81274,09 23 23.2957,-40 21 07.175,-11.134,1.515,8.54,8.5,8.413,8.47,8.382
HD67266,08 05 29.5133,-40 22 01.012,-4.7330000000000005,1.646,9.64,9.6,9.465,9.455,9.451
HD52023,06 57 46.1943,-40 24 23.289,-3.36,13.123,9.96,9.9,9.588,9.64,9.561
HD131702,14 56 22.9725,-40 28 17.308,-8.502,-2.6310000000000002,9.47,9.44,9.406,9.459,9.4
HD2339,00 27 01.1795,-40 29 31.180,28.516,18.838,10.3,10.27,10.151,10.152000000000001,10.165
HD83383,09 36 55.6988,-40 35 00.628,-12.225999999999999,3.742,10.22,10.16,9.999,9.99,9.953
HD199863,21 01 12.1786,-40 36 41.517,17.294,-2.194,9.36,9.31,9.241,9.274,9.219
HIP29893,06 17 40.8238,-40 39 30.627,-2.431,13.425,8.03,7.99,7.86,7.861000000000001,7.8020000000000005
HD76939,08 57 54.6080,-40 44 44.914,-8.089,3.0839999999999996,9.9,9.9,9.783999999999999,9.821,9.783999999999999
HD81061,09 22 13.8953,-40 45 50.649,-7.694,5.9879999999999995,10.02,9.98,9.884,9.924,9.904
HD81017,09 21 51.7264,-40 46 43.015,-9.533999999999999,3.556,9.17,9.13,9.062999999999999,9.081,9.047
HD67413,08 06 06.2285,-40 53 51.308,-2.25,7.897,9.49,9.46,9.33,9.306000000000001,9.34
HD67605,08 07 03.6996,-40 55 11.608,-2.109,-1.3869999999999998,8.85,8.8,8.705,8.772,8.71
HD86330,09 56 44.5849,-40 58 14.864,-7.343999999999999,4.837,9.23,9.21,9.103,9.115,9.113999999999999
HD81664,09 25 44.7731,-41 06 19.922,-8.645,1.228,9.69,9.63,9.525,9.533,9.526
HIP46980,09 34 30.8833,-41 08 14.829,-1.195,-3.333,9.99,9.95,9.7,9.681000000000001,9.648
HIP41576,08 28 36.9647,-41 10 27.361,-8.187999999999999,14.147,7.5,7.51,7.457000000000001,7.5120000000000005,7.4910000000000005
HD83877,09 40 10.1033,-41 11 36.292,-6.24,-4.882,8.53,8.52,8.509,8.487,8.499
HD161493,17 47 42.8838,-41 21 19.931,-2.024,-17.579,9.2,9.15,8.83,8.823,8.818
HD56933,07 17 11.4656,-41 23 29.370,-3.986,15.529000000000002,8.36,8.31,8.118,8.151,8.073
HIP47326,09 38 35.9506,-41 26 06.191,-15.492,4.9,9.52,9.47,9.36,9.368,9.342
HD221805,23 35 29.3834,-41 27 11.672,-0.428,4.155,9.79,9.74,9.589,9.574,9.552
HD74951,08 45 35.6647,-41 29 59.476,-12.544,6.399,9.36,9.37,9.377,9.396,9.37
HD79414,09 12 39.8104,-41 31 51.435,-10.142999999999999,7.439,9.4,9.34,9.215,9.212,9.229
HD69467,08 15 28.4615,-41 32 47.275,-11.720999999999998,7.749,9.59,9.52,9.299,9.287,9.287
HD79087,09 10 38.5953,-41 33 31.393,-7.7170000000000005,5.032,8.76,8.73,8.662,8.666,8.666
HD42210,06 07 22.9805,-41 33 57.687,-0.359,8.379,8.39,8.35,8.339,8.384,8.378
HIP49901,10 11 18.6089,-41 33 59.665,-8.863,1.7169999999999999,9.08,9.09,8.965,8.991,8.972000000000001
HR1049,03 26 11.7840,-41 38 12.980,19.055999999999997,27.295,6.374,6.3260000000000005,6.202999999999999,6.225,6.206
HD69592,08 15 56.0853,-41 41 08.233,-3.9360000000000004,9.797,9.74,9.72,9.62,9.7,9.651
HD71145,08 24 05.1602,-41 41 23.792,-5.084,4.462,9.65,9.61,9.402999999999999,9.414,9.343
HD186373,19 45 45.4279,-41 45 30.016,3.838,-1.139,9.42,9.37,9.287,9.247,9.232999999999999
HD67361,08 05 48.5582,-41 47 26.102,-10.376,3.261,10.56,10.53,10.237,10.251,10.217
HD38433,05 43 41.2848,-41 47 38.021,2.807,10.18,9.5,9.44,9.462,9.467,9.447000000000001
HD120505,13 50 43.1585,-41 49 45.015,-8.547,-2.506,10.4,10.37,10.335999999999999,10.350999999999999,10.335
HD74356,08 42 00.9315,-41 49 47.884,-21.723000000000003,-1.818,8.85,8.81,8.761000000000001,8.836,8.765
HD80139,09 16 40.2038,-41 51 00.395,-9.436,4.831,10.11,10.05,9.978,10.01,9.976
HIP95535,19 25 57.3810,-41 53 13.691,4.51,-10.95,8.86,8.84,8.802,8.821,8.798
HD68917,08 12 47.8609,-41 54 37.047,-9.266,9.019,9.01,8.95,8.836,8.767000000000001,8.799
HIP93470,19 02 08.5215,-41 54 37.822,30.186,-11.51,6.199,6.209,6.204,6.292000000000001,6.228
HD51882,06 57 09.8538,-41 55 01.000,0.053,7.745,9.43,9.47,9.301,9.32,9.325
HD90517,10 26 10.6475,-41 55 11.464,10.829,-15.368,9.28,9.22,9.139,9.133,9.086
HD81586,09 25 11.3118,-41 55 30.589,-3.116,1.825,10.28,10.22,10.036,10.001,10.011000000000001
HIP55133,11 17 14.3233,-41 56 03.560,-55.099,-8.112,6.48,6.44,6.405,6.447,6.356
HD74041,08 40 03.6298,-41 56 04.933,-11.585999999999999,10.052,10.01,9.97,9.898,9.949,9.908999999999999
HD78594,09 07 46.6918,-41 56 12.658,-11.850999999999999,10.169,9.67,9.6,9.472999999999999,9.496,9.469
HD74027,08 39 49.8329,-41 58 42.219,-2.8930000000000002,3.7760000000000002,9.69,9.63,9.571,9.573,9.533999999999999
HD57896,07 21 20.6640,-41 59 25.130,-8.363,19.552,7.89,7.86,7.768,7.809,7.769
HD224622,23 59 19.8900,-42 03 22.596,17.761,11.661,8.67,8.67,8.596,8.611,8.609
HD210383,22 11 02.2390,-42 07 15.853,-2.728,5.176,10.07,10.02,9.941,9.946,9.94
HD164247,18 02 16.5212,-42 14 11.604,2.675,-4.291,9.02,9.0,8.888,8.913,8.88
HD125154,14 18 47.3827,-42 14 23.014,-16.671,-8.413,9.2,9.13,9.117,9.107999999999999,9.066
HD86196,09 55 52.3706,-42 14 41.919,2.9360000000000004,0.11599999999999999,9.15,9.08,8.897,8.857000000000001,8.853
HD86697,09 59 10.1890,-42 23 41.432,-10.7,3.0,8.86,8.79,8.669,8.731,8.669
HIP91654,18 41 26.0525,-42 35 54.261,2.714,-4.2330000000000005,8.49,8.48,8.334,8.354,8.357000000000001
HD71545,08 26 21.5008,-42 37 37.503,-5.803,5.781000000000001,10.36,10.43,10.292,10.294,10.299000000000001
HD72319,08 30 25.3343,-42 38 45.127,-12.584000000000001,3.718,8.7,8.7,8.667,8.634,8.634
HD138446,15 33 43.9035,-42 39 55.167,-10.909,-8.558,9.64,9.59,9.516,9.503,9.501
HD64505,07 52 24.5470,-42 39 55.208,-9.338,4.176,8.77,8.75,8.722999999999999,8.771,8.722999999999999
HIP40260,08 13 20.4515,-42 42 00.481,-10.61,6.744,8.38,8.31,8.131,8.176,8.091000000000001
HIP44395,09 02 35.5805,-42 42 26.669,0.364,-16.81,7.3229999999999995,7.292999999999999,7.09,7.061,7.0760000000000005
HD101539,11 40 52.6746,-42 44 11.815,-11.439,-3.352,8.57,8.53,8.454,8.456,8.476
HD67442,08 06 15.4770,-42 44 33.190,-3.8789999999999996,9.046,10.84,10.92,10.444,10.49,10.452
HD62579,07 42 47.5191,-42 45 27.033,-11.852,-2.989,8.37,8.32,8.232000000000001,8.287,8.211
HD85281,09 49 36.0850,-42 47 51.872,-1.746,0.26,8.65,8.6,8.467,8.442,8.46
HIP40974,08 21 41.5571,-42 50 09.165,-4.851,6.019,7.71,7.7,7.672999999999999,7.757999999999999,7.671
HD102051,11 44 31.2503,-42 50 26.240,-8.541,3.5410000000000004,9.39,9.35,9.237,9.259,9.238
HD83706,09 39 03.1857,-42 51 55.365,-4.65,-4.379,7.61,7.6,7.479,7.475,7.443
HD77286,09 00 11.9320,-42 56 01.776,-6.936,-1.805,9.25,9.21,9.121,9.109,9.099
HD65490,07 57 08.7314,-42 56 03.645,-6.437,3.372,10.35,10.32,10.227,10.243,10.21
HD67025,08 04 19.3580,-42 58 43.051,-4.453,6.492999999999999,10.15,10.17,10.083,10.092,10.051
HD70976,08 23 12.0791,-42 59 11.340,-21.733,12.433,8.49,8.44,8.385,8.396,8.399
HIP101758,20 37 25.4563,-43 02 35.623,29.451,-31.36,7.94,7.88,7.706,7.742999999999999,7.689
HD81824,09 26 42.5522,-43 04 08.276,-7.921,7.87,8.77,8.79,8.795,8.794,8.783
HD137342,15 26 57.7190,-43 11 32.156,-11.835999999999999,-8.713,9.82,9.75,9.494,9.443999999999999,9.482999999999999
HD82787,09 32 55.9341,-43 13 56.541,-9.93,5.462999999999999,10.03,10.01,9.811,9.81,9.761000000000001
HD72732,08 32 44.0457,-43 14 03.347,1.442,-9.443,8.52,8.46,8.322000000000001,8.37,8.306000000000001
HD78080,09 04 44.8669,-43 16 01.146,-10.491,8.808,9.5,9.47,9.381,9.397,9.379
HIP38816,07 56 38.8968,-43 16 41.977,-8.639,9.211,9.32,9.26,9.158,9.136000000000001,9.107000000000001
HD79415,09 12 29.6150,-43 17 34.800,-13.365,1.5919999999999999,8.5,8.5,8.371,8.377,8.401
HD78860,09 08 58.2704,-43 20 44.091,-1.87,5.436,8.78,8.77,8.698,8.738999999999999,8.654
HD128856,14 40 39.1377,-43 22 18.754,8.027000000000001,-4.582,8.59,8.53,8.467,8.491,8.439
HIP21024,04 30 29.5363,-43 24 38.216,0.79,20.355,7.29,7.27,7.232,7.257999999999999,7.2170000000000005
HD84014,09 40 49.9833,-43 30 27.423,-10.187999999999999,4.198,9.9,9.83,9.812999999999999,9.783999999999999,9.8
HD84626,09 45 21.7464,-43 35 40.571,-15.885,7.0889999999999995,9.3,9.28,9.226,9.255,9.237
HD65290,07 56 11.0856,-43 36 08.727,-11.228,5.031000000000001,8.97,8.92,8.75,8.753,8.743
HD51392,06 55 00.8691,-43 36 52.299,-0.452,11.083,9.65,9.64,9.578,9.597999999999999,9.58
HD77114,08 58 57.2569,-43 37 22.697,-12.040999999999999,2.327,9.3,9.24,9.078,9.076,9.075
HIP29816,06 16 45.0038,-43 38 38.289,-4.68,4.962,7.33,7.34,7.332999999999999,7.364,7.331
HD71161,08 24 09.2468,-43 42 00.242,-10.652999999999999,6.562,10.17,10.1,9.972999999999999,9.965,9.965
HD76516,08 55 02.4496,-43 49 52.150,-16.869,15.620999999999999,8.0,7.98,7.8229999999999995,7.8420000000000005,7.787000000000001
HD116699,13 26 02.3469,-43 52 36.716,-5.636,10.792,8.61,8.62,8.507,8.545,8.503
HIP103016,20 52 15.1373,-43 53 01.147,5.394,-10.037,8.74,8.74,8.647,8.648,8.641
HIP34868,07 12 52.9554,-43 53 06.569,-9.16,-5.8870000000000005,7.31,7.25,7.1160000000000005,7.111000000000001,7.0920000000000005
HIP14395,03 05 41.8451,-43 54 14.383,12.185,12.83,9.35,9.3,9.304,9.316,9.29
HD136857,15 24 31.4158,-43 55 38.546,-9.292,-11.224,8.05,7.99,7.766,7.745,7.728
HIP57809,11 51 13.1367,-43 55 59.004,-32.034,-9.704,6.582999999999999,6.593,6.615,6.671,6.641
HD91225,10 31 02.8445,-43 57 08.803,-14.387,0.46,9.25,9.18,9.052,9.085,9.032
HD87709,10 05 48.0329,-43 58 40.682,-3.15,-1.34,9.96,9.93,9.826,9.805,9.787
HD81135,09 22 27.8324,-44 06 07.900,9.155,-5.763,8.17,8.15,8.012,8.038,8.024
HD64660,07 52 58.2298,-44 12 16.958,-11.597000000000001,4.899,9.2,9.18,9.111,9.102,9.109
HIP38059,07 48 02.4220,-44 16 12.416,-22.795,13.948,8.76,8.7,8.507,8.484,8.475
HD93494,10 46 54.9742,-44 16 40.663,1.061,-0.008,8.03,7.96,7.767,7.757000000000001,7.724
HD93868,10 49 27.6875,-44 17 05.495,-2.475,5.461,8.02,7.96,7.797999999999999,7.797000000000001,7.77
HD171500,18 37 20.1744,-44 17 29.804,7.6979999999999995,-6.715,9.28,9.22,9.202,9.181000000000001,9.162
HIP36875,07 34 51.0538,-44 17 46.083,-18.03,2.19,6.78,6.797999999999999,6.757000000000001,6.79,6.76
HD79348,09 12 04.9136,-44 18 32.863,-2.5989999999999998,-0.594,9.91,9.87,9.692,9.732000000000001,9.712
HD118878,13 40 37.6510,-44 19 48.840,-26.924,-20.287,6.62,6.57,6.365,6.347,6.343
HD75927,08 51 14.6507,-44 24 38.551,-12.603,7.132999999999999,9.31,9.3,9.141,9.113,9.087
HIP112735,22 49 51.1541,-44 25 24.757,4.584,-2.365,8.11,8.06,7.957000000000001,7.966,7.912999999999999
HD72402,08 30 55.5840,-44 36 54.861,-5.159,1.82,8.79,8.77,8.721,8.708,8.743
HD139413,15 39 47.2154,-44 40 54.832,-10.324000000000002,-8.846,9.38,9.33,9.195,9.191,9.137
HIP68867,14 06 08.2356,-44 41 20.711,-22.38,-19.77,7.24,7.23,7.17,7.244,7.159
HD80278,09 17 21.8619,-44 44 00.199,-11.892999999999999,4.85,9.42,9.43,9.353,9.379,9.338
HD90149,10 23 30.2654,-44 44 50.541,-11.474,3.8089999999999997,8.79,8.8,8.808,8.85,8.795
HD74209,08 40 51.5880,-44 44 57.549,-11.635,4.333,9.28,9.27,9.222000000000001,9.254,9.231
HD64829,07 53 46.1574,-44 46 15.741,-3.397,8.753,9.28,9.3,9.274,9.274,9.245
HD87024,10 01 12.9428,-44 49 58.440,-6.46,-3.092,8.15,8.11,8.0,8.05,7.982
HIP52134,10 39 04.0672,-44 51 00.191,-17.061,0.7340000000000001,8.55,8.49,8.302999999999999,8.311,8.288
HIP72192,14 45 57.6288,-44 52 03.028,-18.937,-31.555,6.96,6.92,6.735,6.731,6.686
HD64845,07 53 52.5524,-44 52 24.228,-11.811,4.678999999999999,9.07,9.04,8.97,8.997,8.98
HD131242,14 53 56.9160,-44 55 48.528,-11.055,-6.409,8.53,8.51,8.426,8.448,8.437999999999999
HD139929,15 42 44.5985,-44 58 58.389,-0.9420000000000001,-2.872,8.29,8.26,8.019,8.064,8.002
HD182562,19 27 18.6179,-45 02 24.317,2.365,-8.338,9.59,9.56,9.515,9.52,9.529
HIP58076,11 54 35.9885,-45 04 54.631,-1.65,-0.514,9.05,8.99,8.82,8.837,8.787
HD74069,08 39 55.1591,-45 08 10.458,-11.460999999999999,4.829,9.87,9.8,9.482000000000001,9.494,9.425
HD70683,08 21 25.5204,-45 09 24.536,-7.17,0.168,9.55,9.49,9.415,9.474,9.417
HD172797,18 44 21.7430,-45 09 48.660,3.123,-3.5260000000000002,9.46,9.4,9.133,9.101,9.074
HD88432,10 10 48.9616,-45 10 36.463,-0.266,-0.524,8.56,8.5,8.383,8.442,8.383
HD87949,10 07 23.7070,-45 12 50.218,-16.964000000000002,8.529,9.55,9.52,9.538,9.565,9.542
HIP29304,06 10 39.9290,-45 16 55.165,-1.9340000000000002,7.541,6.2620000000000005,6.272,6.255,6.305,6.2170000000000005
HD90423,10 25 29.1431,-45 17 52.878,-6.6,6.01,9.97,9.92,9.773,9.787,9.767000000000001
HD49851,06 48 16.4153,-45 23 02.438,3.983,-9.378,9.12,9.13,9.052999999999999,9.071,9.017000000000001
HD118763,13 39 49.2971,-45 24 02.364,-6.8020000000000005,-2.847,10.11,10.05,9.843,9.842,9.828
HIP75957,15 30 48.4244,-45 25 27.887,-15.44,-20.179000000000002,7.51,7.44,7.257000000000001,7.251,7.246
HD73384,08 36 21.2352,-45 25 30.213,-7.564,8.53,9.32,9.28,9.084,9.092,9.055
HD132710,15 02 05.1368,-45 27 08.014,-5.462999999999999,-4.535,10.08,10.03,9.834,9.797,9.822000000000001
HD79386,09 12 13.4949,-45 27 39.473,-10.312000000000001,8.904,9.38,9.34,9.185,9.17,9.152999999999999
HD168668,18 23 11.7975,-45 30 53.250,-0.145,-6.322,9.12,9.07,8.83,8.795,8.807
HD72162,08 29 31.8599,-45 33 09.107,-8.109,6.33,9.93,9.91,9.829,9.815,9.786
HD65552,07 57 10.6340,-45 34 07.610,-7.546,8.124,9.26,9.2,8.99,8.959,8.941
HD189226,20 00 53.3600,-45 41 58.362,6.25,-15.149000000000001,8.78,8.78,8.671,8.66,8.687000000000001
HIP71700,14 40 01.2754,-45 44 36.995,-14.69,-6.14,8.08,8.07,7.909,7.912999999999999,7.872000000000001
HD89698,10 20 05.2202,-45 44 48.149,-18.073,9.804,9.02,9.0,8.982000000000001,9.058,8.992
HD66283,08 00 43.2763,-45 48 29.079,-11.1,5.022,9.24,9.18,9.151,9.193,9.167
HD85910,09 53 44.8057,-45 48 54.481,-9.785,4.205,9.58,9.55,9.206,9.212,9.173
HD79832,09 14 47.6511,-45 56 44.703,-11.901,5.606,9.78,9.72,9.811,9.815,9.811
HIP53293,10 53 58.3668,-46 04 38.603,-20.588,13.222000000000001,10.02,9.98,9.63,9.628,9.58
HIP29729,06 15 40.4531,-46 07 55.277,-3.391,20.164,8.34,8.28,8.07,8.04,8.02
HD77741,09 02 43.1901,-46 10 25.886,-12.939,6.18,9.89,9.83,9.722999999999999,9.734,9.701
HD89623,10 19 32.4611,-46 13 05.008,-24.414,6.079,8.09,8.09,8.022,8.033999999999999,8.003
HD161706,17 49 18.1867,-46 13 05.198,10.894,-9.302999999999999,7.98,7.94,7.824,7.822,7.825
HD132302,14 59 54.6366,-46 14 52.562,-22.252,-21.881,7.14,7.15,7.172999999999999,7.202999999999999,7.207000000000001
HD65687,07 57 46.6167,-46 18 33.774,-12.068,4.588,9.24,9.18,9.078,9.062000000000001,9.029
HIP43794,08 55 08.8736,-46 21 39.005,-10.209,-16.851,7.59,7.57,7.461,7.515,7.433
HIP52342,10 41 52.1475,-46 23 05.494,-12.931,-4.239,9.64,9.62,9.577,9.58,9.546
HD82277,09 29 37.7491,-46 27 44.203,-14.539000000000001,11.795,9.09,9.02,8.853,8.843,8.797
HIP104326,21 08 01.0900,-46 29 34.965,21.785999999999998,-2.572,7.02,7.05,7.057,7.077000000000001,7.063
HD84611,09 45 05.0372,-46 30 33.455,-10.659,0.446,9.01,8.96,8.836,8.839,8.786
HD144399,16 07 44.0560,-46 31 31.237,-14.19,-42.07,7.1,7.06,6.954,7.013,6.975
HIP51276,10 28 25.0143,-46 33 38.184,-17.840999999999998,3.01,7.64,7.6,7.539,7.593,7.542000000000001
HD101790,11 42 36.3766,-46 33 55.016,-20.798000000000002,6.462999999999999,9.73,9.69,9.605,9.605,9.6
HD126562,14 27 38.1139,-46 34 02.041,-10.704,-3.37,9.54,9.46,9.152999999999999,9.181000000000001,9.133
HD95409,11 00 15.6212,-46 36 05.201,1.75,-4.798,7.79,7.74,7.593,7.596,7.617000000000001
HD74249,08 41 07.9184,-46 37 31.010,-10.22,6.585,9.92,9.89,9.673,9.696,9.616
HIP49259,10 03 20.5812,-46 38 10.277,-27.63,-10.21,6.14,6.101,6.057,6.115,6.032
HD59869,07 29 45.3493,-46 41 22.089,-4.61,9.462,7.43,7.4,7.26,7.273,7.2
HD61928,07 39 23.6906,-46 43 32.010,-5.653,2.456,9.24,9.19,8.982999999999999,9.03,8.984
HD132479,15 00 56.3857,-46 44 41.875,-8.054,-4.685,9.99,9.94,9.758,9.808,9.735
HD169163,18 25 38.5653,-46 45 25.693,0.185,-2.9530000000000003,9.17,9.13,9.052,9.066,9.052999999999999
HD77115,08 58 40.7434,-46 45 37.014,-11.222000000000001,0.77,9.36,9.39,9.415,9.395,9.427
HIP92688,18 53 12.5329,-46 46 17.859,-3.693,-14.968,9.14,9.1,8.975,9.019,8.964
HIP54209,11 05 28.8886,-46 53 35.068,-13.078,-1.242,8.62,8.61,8.562000000000001,8.652999999999999,8.602
HD69953,08 17 19.7896,-47 00 47.953,-8.525,7.5489999999999995,9.42,9.43,9.427999999999999,9.433,9.434
HD52470,06 58 59.9808,-47 01 24.050,-9.505,-4.467,7.26,7.27,7.245,7.3260000000000005,7.278
HD66588,08 02 09.6143,-47 01 50.216,-2.565,4.975,9.45,9.4,9.406,9.399,9.392000000000001
HD127468,14 32 58.2711,-47 03 05.960,-11.593,-5.72,9.56,9.53,9.374,9.374,9.368
HIP56304,11 32 34.4207,-47 03 34.738,-22.045,0.013999999999999999,7.8,7.77,7.667000000000001,7.737,7.693
HD91111,10 30 13.3199,-47 08 03.527,-11.023,3.565,10.17,10.1,9.943999999999999,9.94,9.898
HD68656,08 11 16.1874,-47 13 18.826,-6.769,11.463,9.22,9.17,9.039,9.078,9.041
HD78343,09 05 56.6627,-47 15 39.288,-8.264,5.9,10.57,10.54,10.219,10.236,10.185
HD82851,09 33 09.9575,-47 18 21.854,-6.209,0.958,9.24,9.17,9.038,9.033,9.012
HIP84267,17 13 32.2787,-47 19 09.875,-0.924,-25.315,7.14,7.11,7.028,7.059,7.019
HD96338,11 05 45.7403,-47 26 32.270,-31.689,-3.115,6.85,6.81,6.778,6.7620000000000005,6.769
HIP44631,09 05 40.1897,-47 32 22.790,-12.607999999999999,7.902,9.11,9.09,8.942,8.913,8.912
HD138893,15 36 47.5724,-47 34 23.900,-11.185,-4.619,8.95,8.89,8.58,8.593,8.532
HD97263,11 11 12.6676,-47 35 57.840,-23.386999999999997,1.393,9.29,9.31,9.193999999999999,9.259,9.203
HD78443,09 06 32.8860,-47 37 06.615,-8.196,7.547000000000001,9.92,9.86,9.73,9.757,9.729
HD79023,09 09 43.1919,-47 45 44.022,-12.04,9.205,9.66,9.65,9.573,9.558,9.544
HD107265,12 20 04.5943,-47 47 55.745,-23.58,1.585,8.9,8.84,8.714,8.735,8.725
HD21638,03 27 36.7530,-47 48 15.231,16.255,-0.8170000000000001,9.51,9.57,9.582,9.579,9.572000000000001
HD207615,21 51 37.9848,-47 49 08.808,18.430999999999997,-2.6710000000000003,8.59,8.54,8.449,8.538,8.443
HD76777,08 56 28.0013,-47 55 55.958,-13.950999999999999,12.698,9.11,9.06,8.937999999999999,8.869,8.886000000000001
HD67105,08 04 14.6045,-48 00 29.107,-12.540999999999999,16.676,8.42,8.38,8.265,8.302,8.258
HD79366,09 11 53.5682,-48 02 09.757,-11.044,4.93,10.01,9.96,9.924,9.896,9.931000000000001
HD109230,12 33 22.9278,-48 02 48.853,-10.86,-2.265,10.03,10.0,9.779,9.839,9.774
HD114208,13 09 50.6435,-48 03 07.427,-15.632,-6.609,8.17,8.11,7.946000000000001,7.945,7.897
HD85540,09 51 05.7238,-48 04 17.329,-18.842,9.755,9.46,9.4,9.288,9.272,9.277000000000001
HD133957,15 08 59.2315,-48 08 18.970,-8.115,-4.956,8.93,8.87,8.648,8.634,8.602
HD85968,09 54 05.8439,-48 11 59.901,-17.247,4.236000000000001,9.39,9.34,9.142999999999999,9.167,9.105
HD162277,17 52 40.5048,-48 12 00.800,1.567,-4.743,10.35,10.31,9.879,9.884,9.859
HIP93862,19 06 55.6069,-48 17 56.919,13.532,-12.735999999999999,5.933,5.9510000000000005,5.957999999999999,5.995,5.9639999999999995
HIP20050,04 17 59.1719,-48 23 45.162,3.425,12.922,8.73,8.73,8.704,8.729,8.69
HD121005,13 54 04.8829,-48 26 15.364,-6.871,-18.372,9.98,9.91,9.619,9.597000000000001,9.577
HD171084,18 35 13.0131,-48 27 11.960,-0.499,-13.974,9.19,9.19,9.094,9.128,9.065
HIP62655,12 50 19.4849,-48 27 34.377,-47.549,7.4879999999999995,6.282,6.257000000000001,6.102,6.1339999999999995,6.055
HIP45395,09 15 03.8858,-48 30 13.445,-22.898000000000003,12.997,8.92,8.85,8.798,8.818999999999999,8.767999999999999
HIP101815,20 37 58.4431,-48 32 44.596,1.807,-23.65,8.22,8.15,8.044,8.068,8.004
HD43123,06 12 03.7515,-48 37 17.264,-2.6289999999999996,9.485,9.28,9.21,9.119,9.117,9.111
HD54420,07 06 17.7754,-48 37 43.913,-4.406000000000001,9.541,9.5,9.47,9.427,9.468,9.446
HD71839,08 27 27.9225,-48 38 54.381,-6.245,4.24,9.54,9.5,9.337,9.328,9.321
HD122435,14 03 04.2091,-48 40 09.197,-10.369000000000002,-9.707,10.34,10.28,10.164,10.161,10.186
HD159326,17 36 37.8964,-48 41 45.522,0.379,-16.717,8.59,8.52,8.335,8.337,8.31
HD146595,16 19 19.7541,-48 42 06.693,-6.312,-3.1060000000000003,9.3,9.24,8.929,8.901,8.875
HIP47184,09 36 55.2915,-48 46 19.568,-12.565999999999999,1.994,8.63,8.62,8.531,8.556000000000001,8.505
HD129239,14 42 59.9801,-48 46 37.318,-7.056,-4.69,9.25,9.18,8.937000000000001,8.943,8.902000000000001
HD63924,07 49 02.7399,-48 46 49.597,1.3,-9.586,9.08,9.02,8.836,8.818,8.815
HD116717,13 26 16.6852,-48 47 11.721,-50.379,-18.163,6.71,6.68,6.652,6.729,6.653
HD78134,09 04 47.0176,-48 48 50.707,-11.115,6.4639999999999995,9.47,9.4,9.332,9.383,9.302999999999999
HD72199,08 29 26.7468,-48 52 12.143,-8.51,7.19,9.45,9.4,9.215,9.186,9.179
HD180933,19 20 51.7726,-48 53 45.595,4.598,-7.3389999999999995,9.77,9.76,9.738,9.732999999999999,9.76
HIP37808,07 45 08.1605,-48 54 55.259,-9.857000000000001,-5.082,7.89,7.83,7.626,7.627000000000001,7.606
HIP104313,21 07 53.8599,-48 56 24.453,23.905,-45.54,6.669,6.691,6.723,6.77,6.747000000000001
HD103282,11 53 35.6144,-48 58 44.564,-12.402999999999999,-3.583,9.22,9.18,9.123,9.113999999999999,9.067
HD117826,13 33 50.2331,-49 03 04.726,-8.453,-3.483,10.42,10.38,10.293,10.245999999999999,10.257
HD97184,11 10 41.3324,-49 12 17.186,-15.093,4.75,9.88,9.87,9.83,9.841000000000001,9.856
HD65986,07 59 12.9024,-49 19 36.112,-12.302,8.402999999999999,8.54,8.49,8.367,8.407,8.362
HD86524,09 57 44.6060,-49 32 46.353,-6.697,6.18,9.69,9.66,9.488999999999999,9.488,9.466000000000001
HD169259,18 26 24.8538,-49 34 09.307,-0.175,-5.571000000000001,8.69,8.66,8.477,8.468,8.446
HIP53788,11 00 18.3512,-49 38 15.782,-15.261,2.6889999999999996,9.06,9.05,8.892000000000001,8.926,8.891
HD69911,08 16 58.6840,-49 44 44.578,-8.873,4.087,9.8,9.74,9.439,9.42,9.382
HD174096,18 51 28.6039,-49 46 24.073,8.589,4.9830000000000005,8.55,8.5,8.425,8.457,8.406
HD80764,09 19 47.4343,-49 48 43.265,-13.203,5.871,9.85,9.82,9.726,9.687999999999999,9.691
HD76410,08 53 59.9864,-49 48 59.710,-9.936,4.271,9.29,9.21,9.08,9.118,9.033999999999999
HD80402,09 17 52.6935,-49 54 19.799,-15.554,5.31,9.62,9.57,9.494,9.475,9.447000000000001
